participant_id,parameter,posterior_mean,hdi_low,hdi_high
P000,omega_2,-5.33128712586876,-5.657439557319899,-4.96610192864797
P001,omega_2,-5.08327848368867,-5.394271541693162,-4.698840046878703
P002,omega_2,-6.92601708737221,-7.248536787650132,-6.587972159900292
P003,omega_2,-6.268267461787442,-6.590391785838832,-5.969114570111853
P004,omega_2,-6.873220989910755,-7.156648355922851,-6.572385750235037
P000,beta,2.9663400150700983,1.639708999481019,4.599776300548303
P001,beta,3.0746854101190975,1.4908043672493394,4.9035130795476
P002,beta,2.6808369674975845,1.063144345585932,4.3919383549082
P003,beta,3.1143984317492497,1.6901113267991634,4.563850848881403
P004,beta,1.6551067557408572,0.2652807161432251,3.6154820410880615
